grid_n,J1,J2,J3,J4,W4,half_W4
8192,0.788441848693037,0.1867600292065853,0.020080414953024008,0.0012215370879717204,0.37945930264849603,0.18972965132424802
16384,0.7884909963206956,0.18679382986867388,0.020087366248691143,0.0012221989993906636,0.3794376662986778,0.1897188331493389
32768,0.7885172469170796,0.1868115332559705,0.020090974091828518,0.0012225450655955377,0.37942585731265793,0.18971292865632897
65536,0.7885212711331904,0.18681404535680704,0.020091485627671643,0.0012225957813905256,0.3794238843773355,0.18971194218866774
131072,0.7885270408737446,0.1868177660412311,0.020092201348225765,0.0012226610958682874,0.37942118491512905,0.18971059245756453
