move,player,x,killed_now,top_live
235,P,609792,16,334550
236,S,1201,561,334295
237,P,615936,16,334294
238,S,1213,556,334042
239,P,622080,41,334041
240,S,1217,553,333790
241,P,624128,15,333789
242,S,1223,551,333539
243,P,627200,19,333538
244,S,1229,549,333289
245,P,630272,9,333288
246,S,1237,545,333041
247,P,632320,24,333040
248,S,1249,539,332796
249,P,638464,9,332795
250,S,1259,535,332552
251,P,647680,25,332551
252,S,1277,529,332310
253,P,651776,15,332309
254,S,1279,528,332069
255,P,656896,9,332068
256,S,1289,525,331830
320,S,1549,449,324745
384,S,1789,396,318585
448,S,2053,351,313135
512,S,2297,316,308208
576,S,2579,287,303741
640,S,2801,265,299665
704,S,3079,245,295905
768,S,3347,226,292399
832,S,3607,214,289111
896,S,3863,199,286017
960,S,4129,188,283109
1024,S,4409,177,280369
1088,S,4673,169,277759
1152,S,4967,160,275254
1216,S,5233,152,272891
1280,S,5507,146,270637
1344,S,5791,140,268467
1408,S,6073,134,266374
1472,S,6329,129,264380
1536,S,6637,123,262455
1600,S,6907,118,260582
1664,S,7207,114,258780
1728,S,7517,110,257055
1792,S,7757,106,255393
1856,S,8087,103,253770
1920,S,8369,99,252208
1984,S,8677,97,250686
2048,S,8941,94,249211
2112,S,9227,91,247771
2176,S,9491,89,246363
2240,S,9791,86,244995
2304,S,10099,84,243671
2368,S,10369,82,242391
2432,S,10691,80,241129
2496,S,11003,78,239883
2560,S,11317,76,238678
2624,S,11657,73,237508
2688,S,11941,72,236356
2752,S,12251,71,235204
2816,S,12527,69,234074
2880,S,12821,67,232970
2944,S,13109,66,231895
3008,S,13421,64,230848
3072,S,13723,62,229828
3136,S,14033,61,228836
3200,S,14407,60,227844
3264,S,14699,59,226874
3328,S,14957,58,225919
3392,S,15277,57,224991
3456,S,15569,56,224081
3520,S,15859,55,223185
3584,S,16183,54,222321
3648,S,16493,53,221469
3712,S,16843,52,220637
3776,S,17159,52,219805
3840,S,17467,51,218973
3904,S,17783,50,218164
3968,S,18077,49,217364
4032,S,18367,48,216585
4096,S,18713,47,215817
4160,S,19081,46,215069
4224,S,19423,45,214333
4288,S,19717,45,213597
4352,S,20021,44,212861
4416,S,20333,44,212125
4480,S,20663,43,211411
4544,S,20983,42,210707
4608,S,21313,42,210003
4672,S,21589,42,209299
4736,S,21893,41,208595
4800,S,22189,41,207891
4864,S,22543,40,207218
4928,S,22859,39,206546
4992,S,23159,39,205874
5056,S,23537,38,205225
5120,S,23813,37,204585
5184,S,24091,37,203945
5248,S,24421,36,203310
5312,S,24809,36,202702
5376,S,25153,35,202094
5440,S,25463,35,201486
5504,S,25799,34,200894
5568,S,26119,34,200318
5632,S,26431,33,199742
5696,S,26737,33,199166
5760,S,27067,32,198595
5824,S,27449,32,198051
5888,S,27779,31,197507
5952,S,28087,31,196963
6016,S,28447,31,196419
6080,S,28711,30,195895
6144,S,29059,30,195383
6208,S,29387,30,194871
6272,S,29741,30,194359
6336,S,30109,30,193847
6400,S,30449,29,193348
6464,S,30803,29,192868
6528,S,31123,29,192388
6592,S,31393,28,191908
6656,S,31769,28,191428
6720,S,32141,28,190948
6784,S,32423,28,190468
6848,S,32749,28,189988
