n,L,first_move,nodes,seconds
59,24,30,84260491,1.63
60,24,30,479030654,9.83
61,25,30,803970558,16.55
62,25,30,937296134,19.45
63,25,30,419616922,8.14
64,25,30,451515650,8.83
65,26,30,657011396,13.51
