move,player,x,killed_now,top_live
1,P,55440,1,49999
2,S,3,33331,33333
3,P,80080,1,33332
4,S,5,13332,26666
5,P,64064,1,26665
6,S,7,7617,22857
7,P,77792,1,22856
8,S,11,4153,20779
9,P,67184,1,20778
10,S,17,2444,19557
11,P,90896,1,19556
12,S,19,2057,18527
13,P,85376,1,18526
14,S,23,1608,17722
15,P,93496,1,17721
16,S,29,1218,17116
17,P,73408,1,17115
18,S,31,1101,16570
19,P,97088,1,16569
20,S,41,811,16169
21,P,64672,1,16168
22,S,47,696,15827
23,P,88192,1,15826
24,S,53,611,15524
25,P,69856,1,15523
26,S,59,542,15252
27,P,83936,1,15251
28,S,61,519,14988
29,P,76112,1,14987
30,S,71,438,14766
31,P,92272,1,14765
32,S,79,389,14567
33,P,88976,1,14566
34,S,83,364,14379
35,P,50024,1,14378
36,S,89,336,14202
37,P,66736,1,14201
38,S,97,301,14043
39,P,59792,1,14042
40,S,101,284,13891
41,P,85696,1,13890
42,S,103,275,13743
43,P,98696,1,13742
44,S,107,262,13601
45,P,64528,1,13600
46,S,109,251,13463
47,P,57856,1,13462
48,S,113,237,13329
49,P,87376,1,13328
50,S,127,206,13212
51,P,78256,1,13211
52,S,131,197,13098
53,P,80008,1,13097
54,S,137,184,12992
55,P,81176,1,12991
56,S,139,179,12888
57,P,61984,1,12887
58,S,149,160,12792
59,P,77312,1,12791
60,S,151,156,12697
61,P,92944,1,12696
62,S,157,145,12609
63,P,67808,1,12608
64,S,167,132,12528
65,P,71968,1,12527
66,S,179,118,12455
67,P,75296,1,12454
68,S,191,108,12386
69,P,80288,1,12385
70,S,197,101,12321
71,P,82784,1,12320
72,S,211,90,12263
73,P,92768,1,12262
74,S,227,78,12212
75,P,95264,1,12211
76,S,233,74,12165
77,P,99424,1,12164
78,S,241,70,12121
79,P,90584,1,12120
80,S,251,67,12080
81,P,53456,1,12079
82,S,263,61,12043
83,P,71552,1,12042
84,S,271,58,12009
85,P,55952,1,12008
86,S,277,55,11977
87,P,72448,1,11976
88,S,281,53,11947
89,P,75008,1,11946
90,S,313,43,11923
91,P,87368,1,11922
92,S,311,42,11900
93,P,63856,1,11899
94,S,317,40,11879
95,P,70096,1,11878
