move,player,x,killed_now,top_live
208,S,683,3214,987739
209,P,7998976,1,987738
210,S,691,3168,986084
211,P,7929344,1,986083
212,S,701,3118,984452
213,P,7894528,1,984451
214,S,709,3078,982836
215,P,7720448,1,982835
216,S,719,3025,981245
217,P,7685632,1,981244
218,S,727,2981,979675
219,P,7668224,1,979674
220,S,733,2943,978122
221,P,7633408,1,978121
222,S,739,2915,976582
223,P,7511552,1,976581
224,S,743,2894,975051
225,P,7476736,1,975050
226,S,751,2854,973537
227,P,7459328,1,973536
228,S,757,2824,972037
229,P,7424512,1,972036
230,S,761,2802,970548
231,P,7302656,1,970547
232,S,769,2767,969075
233,P,7215616,1,969074
234,S,773,2745,967612
235,P,7198208,1,967611
236,S,787,2690,966174
237,P,7163392,1,966173
238,S,797,2648,964755
239,P,7145984,1,964754
240,S,809,2600,963362
241,P,7058944,1,963361
242,S,991,2107,962214
243,P,8677888,1,962213
244,S,1009,2071,961082
245,P,9414464,1,961081
246,S,1013,2057,959955
247,P,8869376,1,959954
248,S,1021,2033,958839
249,P,9673408,1,958838
250,S,1031,2006,957736
251,P,8991232,1,957735
252,S,1039,1987,956643
253,P,9130496,1,956642
254,S,1051,1958,955562
255,P,9234944,1,955561
256,S,1063,1929,954497
320,S,1307,1431,925062
384,S,1559,1043,901736
448,S,2137,656,884121
512,S,2417,510,872435
576,S,2693,392,863530
640,S,2927,297,856973
704,S,3229,219,852690
768,S,4337,214,849106
832,S,4723,198,845678
896,S,4951,179,842490
960,S,5119,169,839598
1024,S,5381,152,836932
1088,S,5659,139,834519
1152,S,5857,128,832280
1216,S,6151,112,830270
1280,S,6427,108,828414
1344,S,6719,108,826558
1408,S,7157,102,824708
1472,S,9209,97,822935
1536,S,9613,92,821245
1600,S,9829,88,819612
1664,S,10223,85,818032
1728,S,10357,81,816557
1792,S,7286,75,815222
1856,S,7754,74,814202
1920,S,8266,74,813242
1984,S,8986,73,812232
2048,S,11213,70,811073
2112,S,11503,66,809927
2176,S,11863,60,808909
2240,S,11939,58,807995
2304,S,12197,54,807190
2368,S,12703,51,806454
2432,S,12743,51,805718
2496,S,13151,51,804982
2560,S,13469,51,804246
2624,S,14254,46,803579
2688,S,14108,45,803020
2752,S,15046,45,802451
2816,S,15518,44,801875
2880,S,16574,44,801299
2944,S,17734,43,800707
3008,S,18913,43,800103
3072,S,15832,41,799494
3136,S,19687,39,798939
3200,S,20261,38,798407
3264,S,20441,38,797895
3328,S,20599,37,797408
3392,S,21157,37,796928
3456,S,21587,36,796450
3520,S,18037,35,796015
3584,S,22063,35,795601
3648,S,22567,34,795185
3712,S,22741,34,794769
3776,S,23003,34,794353
3840,S,23339,33,793947
3904,S,23581,32,793563
3968,S,23761,31,793189
4032,S,24109,31,792837
4096,S,24733,31,792485
4160,S,24841,30,792133
4224,S,24943,30,791781
4288,S,25409,29,791457
4352,S,25981,29,791137
4416,S,26317,29,790817
4480,S,26713,29,790497
4544,S,26393,29,790177
4608,S,26903,29,789857
4672,S,27701,29,789537
4736,S,27329,29,789217
4800,S,27758,28,788927
4864,S,28442,28,788639
4928,S,29098,27,788351
4992,S,29642,27,788063
5056,S,30298,26,787771
5120,S,31466,26,787483
5184,S,32726,26,787195
5248,S,34042,26,786907
5312,S,34508,25,786649
5376,S,31852,25,786393
5440,S,34051,25,786151
5504,S,37003,25,785865
5568,S,37799,25,785577
5632,S,37483,25,785289
5696,S,34756,24,785028
5760,S,34288,23,784819
5824,S,39509,23,784534
5888,S,39181,23,784246
5952,S,41257,23,783958
6016,S,40949,23,783670
6080,S,40597,23,783382
6144,S,40213,23,783094
6208,S,39869,23,782806
6272,S,41543,23,782518
6336,S,42667,23,782230
6400,S,42349,23,781942
6464,S,42019,23,781654
6528,S,43591,23,781366
6592,S,43177,23,781078
6656,S,43973,23,780790
6720,S,44171,23,780502
6784,S,44647,22,780214
6848,S,44273,22,779926
6912,S,46471,22,779638
6976,S,46103,22,779350
7040,S,45751,22,779062
7104,S,45361,22,778774
7168,S,44987,22,778486
7232,S,47237,21,778203
7296,S,46829,21,777915
7360,S,49277,21,777627
7424,S,48953,21,777339
7488,S,48611,21,777051
7552,S,48271,21,776763
7616,S,47903,21,776475
7680,S,47569,21,776187
7744,S,50093,20,775903
7808,S,49783,20,775615
7872,S,50647,20,775327
7936,S,50287,20,775039
8000,S,51511,20,774751
8064,S,51203,20,774463
8128,S,50849,20,774175
8192,S,52067,20,773887
8256,S,55171,20,773599
8320,S,54787,20,773311
8384,S,54469,20,773023
8448,S,54121,20,772735
8512,S,53773,20,772447
8576,S,53407,20,772159
8640,S,53077,20,771871
8704,S,52721,20,771583
8768,S,52361,20,771295
8832,S,55589,20,771007
8896,S,57751,20,770719
8960,S,57383,20,770431
9024,S,57073,20,770143
9088,S,56767,20,769855
9152,S,56453,20,769567
9216,S,56093,20,769279
9280,S,58027,20,768991
9344,S,59771,19,768724
9408,S,59443,19,768436
9472,S,59119,19,768148
9536,S,58771,19,767860
9600,S,58411,19,767572
9664,S,60167,19,767284
9728,S,61283,18,766996
9792,S,60887,18,766708
9856,S,60521,18,766420
9920,S,63611,18,766132
9984,S,63331,18,765844
10048,S,62929,18,765556
10112,S,62563,18,765268
10176,S,62171,18,764980
10240,S,61819,18,764692
10304,S,61487,18,764404
10368,S,76253,17,764128
10432,S,75869,17,763840
10496,S,75539,17,763552
10560,S,75193,17,763264
10624,S,74821,17,762976
10688,S,74201,17,762688
10752,S,74378,16,762407
10816,S,72532,16,762166
10880,S,69884,16,761942
10944,S,68132,16,761718
11008,S,65644,16,761494
11072,S,62996,16,761270
11136,S,60748,16,761046
11200,S,71564,16,760822
11264,S,76378,15,760610
11328,S,77134,15,760386
11392,S,77734,15,760162
11456,S,78643,15,759933
11520,S,78241,15,759677
11584,S,88223,15,759421
11648,S,87793,15,759165
11712,S,87509,15,758909
11776,S,87121,15,758653
11840,S,86729,15,758397
11904,S,86353,15,758141
11968,S,86027,15,757885
12032,S,85621,15,757629
12096,S,85243,15,757373
12160,S,84871,15,757117
12224,S,84499,15,756861
12288,S,84179,15,756605
12352,S,83773,15,756349
12416,S,83401,15,756093
12480,S,83023,15,755837
12544,S,82613,15,755581
12608,S,82261,15,755325
12672,S,81943,15,755069
12736,S,81611,15,754813
12800,S,81203,15,754557
12864,S,80909,15,754301
12928,S,80599,15,754045
12992,S,80207,15,753789
13056,S,79843,15,753533
13120,S,79493,15,753277
13184,S,79151,15,753021
13248,S,78779,15,752765
13312,S,77092,14,752577
13376,S,91571,14,752376
13440,S,91193,14,752152
13504,S,90833,14,751928
13568,S,90437,14,751704
13632,S,90071,14,751480
13696,S,89779,14,751256
13760,S,89431,14,751032
13824,S,89071,14,750808
13888,S,88771,14,750584
13952,S,93283,14,750360
14016,S,92941,14,750136
14080,S,92641,14,749912
14144,S,92317,14,749688
14208,S,91957,14,749464
14272,S,96973,13,749262
14336,S,96587,13,749070
14400,S,96221,13,748878
14464,S,95819,13,748686
14528,S,95479,13,748494
14592,S,95153,13,748302
14656,S,94811,13,748110
14720,S,94441,13,747918
14784,S,94079,13,747726
14848,S,93703,13,747534
14912,S,98909,13,747342
14976,S,98543,13,747150
15040,S,98207,13,746958
15104,S,97789,13,746766
15168,S,97387,13,746574
15232,S,75121,12,746395
15296,S,102881,12,746220
15360,S,102499,12,746060
15424,S,102139,12,745900
15488,S,101833,12,745740
15552,S,101483,12,745580
15616,S,101141,12,745420
15680,S,100747,12,745260
15744,S,100379,12,745100
15808,S,99971,12,744940
15872,S,99611,12,744780
15936,S,99233,12,744620
16000,S,112253,12,744460
16064,S,111893,12,744300
16128,S,111539,12,744140
16192,S,111143,12,743980
16256,S,110807,12,743820
16320,S,110459,12,743660
16384,S,109961,12,743500
16448,S,109597,12,743340
16512,S,109267,12,743180
16576,S,108923,12,743020
16640,S,108541,12,742860
16704,S,108191,12,742700
16768,S,107839,12,742540
16832,S,107357,12,742380
16896,S,106963,12,742220
16960,S,106661,12,742060
17024,S,106303,12,741900
17088,S,105943,12,741740
17152,S,105527,12,741580
17216,S,105199,12,741420
17280,S,104773,12,741260
17344,S,104459,12,741100
17408,S,104059,12,740940
17472,S,103687,12,740780
17536,S,103319,12,740620
17600,S,116089,12,740460
17664,S,115769,12,740300
17728,S,115361,12,740140
17792,S,115013,12,739980
17856,S,114643,12,739820
17920,S,114217,12,739660
17984,S,113843,12,739500
18048,S,113417,12,739340
18112,S,113089,12,739180
18176,S,112757,12,739020
18240,S,67313,11,738861
18304,S,16711,11,738675
18368,S,18751,11,738509
18432,S,115436,10,738409
18496,S,113644,10,738313
18560,S,60503,10,738198
18624,S,83527,9,738043
18688,S,119452,9,737939
18752,S,117892,9,737843
18816,S,116668,9,737747
18880,S,153014,8,737651
18944,S,148354,8,737555
19008,S,153214,8,737459
19072,S,154006,8,737363
19136,S,154702,8,737267
19200,S,155318,8,737171
19264,S,156034,8,737075
19328,S,145876,8,737004
19392,S,144388,8,736940
19456,S,143188,8,736876
19520,S,141604,8,736812
19584,S,138364,8,736748
19648,S,137132,8,736684
19712,S,135644,8,736620
19776,S,134404,8,736556
19840,S,133268,8,736492
19904,S,131932,8,736428
19968,S,130532,8,736364
20032,S,129436,8,736300
20096,S,128236,8,736236
20160,S,126668,8,736172
20224,S,125276,8,736108
20288,S,124132,8,736044
20352,S,122788,8,735980
20416,S,121292,8,735916
20480,S,139676,8,735852
20544,S,33779,8,735788
20608,S,163733,8,735688
20672,S,163337,8,735560
20736,S,162937,8,735432
20800,S,162611,8,735304
20864,S,162221,8,735176
20928,S,161771,8,735048
20992,S,161387,8,734920
21056,S,160997,8,734792
21120,S,160639,8,734664
21184,S,160217,8,734536
21248,S,159833,8,734408
21312,S,159503,8,734280
21376,S,159157,8,734152
21440,S,158663,8,734024
21504,S,158303,8,733896
21568,S,157877,8,733768
21632,S,157477,8,733640
21696,S,157163,8,733512
21760,S,156733,8,733384
21824,S,156347,8,733256
21888,S,169199,8,733128
21952,S,168769,8,733000
22016,S,168347,8,732872
22080,S,167899,8,732744
22144,S,167471,8,732616
22208,S,167107,8,732488
22272,S,166799,8,732360
22336,S,166399,8,732232
22400,S,165961,8,732104
22464,S,165559,8,731976
22528,S,165203,8,731848
22592,S,164707,8,731720
22656,S,164321,8,731592
22720,S,163981,8,731464
22784,S,188303,8,731336
22848,S,187871,8,731208
22912,S,187423,8,731080
22976,S,187111,8,730952
23040,S,186701,8,730824
23104,S,186259,8,730696
23168,S,185947,8,730568
23232,S,185599,8,730440
23296,S,185221,8,730312
23360,S,184859,8,730184
23424,S,184487,8,730056
23488,S,184073,8,729928
23552,S,183661,8,729800
