move,player,x,killed_now,top_live
1,P,720720,1,499999
2,S,3,333331,333333
3,P,800800,1,333332
4,S,5,133332,266666
5,P,544544,1,266665
6,S,7,76188,228571
7,P,739024,1,228570
8,S,11,41557,207792
9,P,772616,1,207791
10,S,17,24444,195568
11,P,727168,1,195567
12,S,19,20585,185273
13,P,554944,1,185272
14,S,23,16108,177219
15,P,747968,1,177218
16,S,29,12220,171107
17,P,752432,1,171106
18,S,37,9245,166478
19,P,733408,1,166477
20,S,41,8107,162422
21,P,840736,1,162421
22,S,43,7535,158651
23,P,606112,1,158650
24,S,47,6728,155289
25,P,841216,1,155288
26,S,53,5836,152380
27,P,760864,1,152379
28,S,59,5146,149820
29,P,786656,1,149819
30,S,61,4899,147390
31,P,989456,1,147389
32,S,71,4153,145341
33,P,941408,1,145340
34,S,73,3990,143377
35,P,854464,1,143376
36,S,79,3650,141588
37,P,945536,1,141587
38,S,89,3218,140016
39,P,524576,1,140015
40,S,97,2937,138580
41,P,917632,1,138579
42,S,101,2814,137202
43,P,889096,1,137201
44,S,103,2744,135857
45,P,849152,1,135856
46,S,107,2629,134567
47,P,702832,1,134566
48,S,109,2570,133304
49,P,918464,1,133303
50,S,127,2201,132215
51,P,947392,1,132214
52,S,131,2126,131159
53,P,954616,1,131158
54,S,137,2025,130152
55,P,896272,1,130151
56,S,139,1986,129161
57,P,805792,1,129160
58,S,149,1848,128234
59,P,973648,1,128233
60,S,151,1813,127321
61,P,849056,1,127320
62,S,157,1740,126441
63,P,881504,1,126440
64,S,163,1669,125597
65,P,555776,1,125596
66,S,167,1618,124777
67,P,557752,1,124776
68,S,173,1548,123989
69,P,950848,1,123988
70,S,179,1488,123230
71,P,961472,1,123229
72,S,181,1465,122482
73,P,757888,1,122481
74,S,191,1381,121774
75,P,765824,1,121773
76,S,193,1358,121075
77,P,844736,1,121074
78,S,197,1320,120392
79,P,853312,1,120391
80,S,199,1305,119715
81,P,954368,1,119714
82,S,211,1223,119078
83,P,913408,1,119077
84,S,223,1149,118479
85,P,731848,1,118478
86,S,227,1122,117892
87,P,762112,1,117891
88,S,229,1108,117311
89,P,999104,1,117310
90,S,233,1084,116741
91,P,770536,1,116740
92,S,239,1049,116187
93,P,802048,1,116186
94,S,251,982,115663
95,P,828568,1,115662
96,S,263,934,115163
97,P,867256,1,115162
98,S,271,900,114679
99,P,893048,1,114678
100,S,281,862,114216
101,P,912392,1,114215
102,S,293,816,113775
103,P,510848,1,113774
104,S,311,760,113361
105,P,520832,1,113360
106,S,317,740,112956
107,P,895024,1,112955
108,S,331,704,112567
109,P,787384,1,112566
110,S,337,688,112184
111,P,577408,1,112183
112,S,349,657,111813
113,P,587392,1,111812
114,S,359,633,111455
115,P,871456,1,111454
116,S,367,617,111105
117,P,620672,1,111104
118,S,379,591,110771
119,P,637312,1,110770
120,S,389,569,110446
121,P,660608,1,110445
122,S,401,550,110130
123,P,929312,1,110129
124,S,409,534,109820
125,P,697216,1,109819
126,S,421,513,109522
127,P,717184,1,109521
128,S,433,496,109233
129,P,730496,1,109232
130,S,443,478,108953
131,P,747136,1,108952
132,S,457,458,108683
133,P,767104,1,108682
134,S,463,448,108416
135,P,777088,1,108415
136,S,479,426,108160
137,P,987136,1,108159
138,S,482,414,107912
139,P,810368,1,107911
140,S,491,404,107666
141,P,830336,1,107665
142,S,503,387,107429
143,P,855296,1,107428
144,S,509,379,107196
145,P,895232,1,107195
146,S,521,368,106968
147,P,870272,1,106967
148,S,541,350,106751
149,P,921856,1,106750
150,S,547,344,106537
151,P,941824,1,106536
152,S,557,335,106327
153,P,936832,1,106326
154,S,569,325,106123
155,P,950144,1,106122
156,S,577,317,105923
157,P,976768,1,105922
158,S,593,303,105731
159,P,996736,1,105730
160,S,601,296,105542
161,P,989768,1,105541
162,S,607,290,105356
163,P,846352,1,105355
164,S,613,285,105172
165,P,897728,1,105171
166,S,617,280,104991
167,P,938288,1,104990
168,S,619,276,104812
169,P,535184,1,104811
170,S,631,266,104639
171,P,954512,1,104638
172,S,641,259,104471
173,P,674752,1,104470
174,S,643,256,104305
175,P,663104,1,104304
176,S,647,251,104142
177,P,654784,1,104141
178,S,653,246,103981
179,P,643136,1,103980
180,S,659,241,103823
181,P,639808,1,103822
182,S,661,238,103666
183,P,633152,1,103665
184,S,673,228,103515
185,P,629824,1,103514
186,S,677,223,103367
187,P,624832,1,103366
188,S,683,218,103222
189,P,618176,1,103221
190,S,691,212,103081
191,P,614848,1,103080
192,S,701,204,102946
193,P,609856,1,102945
194,S,709,199,102813
195,P,604864,1,102812
196,S,719,196,102683
197,P,673088,1,102682
198,S,746,187,102559
199,P,683072,1,102558
200,S,766,180,102440
201,P,684736,1,102439
202,S,794,170,102330
203,P,689728,1,102329
204,S,827,163,102228
205,P,698048,1,102227
206,S,853,156,102131
207,P,714688,1,102130
208,S,857,154,102036
209,P,718016,1,102035
210,S,838,153,101939
211,P,734656,1,101938
212,S,881,148,101849
213,P,729664,1,101848
214,S,887,145,101761
215,P,757952,1,101760
216,S,862,143,101672
217,P,754624,1,101671
218,S,878,138,101586
219,P,764608,1,101585
220,S,929,131,101510
221,P,779584,1,101509
222,S,898,130,101429
223,P,782912,1,101428
224,S,947,124,101358
225,P,792896,1,101357
226,S,961,120,101290
227,P,578344,1,101289
228,S,922,119,101218
229,P,552448,1,101217
230,S,967,117,101153
231,P,975416,1,101152
232,S,971,114,101091
233,P,752128,1,101090
234,S,934,112,101023
235,P,815392,1,101022
236,S,977,110,100963
237,P,817856,1,100962
238,S,991,106,100907
239,P,829504,1,100906
240,S,1009,101,100854
241,P,842816,1,100853
242,S,1021,100,100802
243,P,847808,1,100801
244,S,1049,99,100750
245,P,864448,1,100749
246,S,1033,99,100698
247,P,857792,1,100697
248,S,1061,98,100647
249,P,874432,1,100646
250,S,1063,97,100597
251,P,904384,1,100596
252,S,974,96,100542
253,P,889408,1,100541
254,S,1097,95,100492
255,P,909376,1,100491
256,S,1091,95,100442
320,S,1174,71,99089
384,S,1579,64,98029
448,S,2213,45,97258
512,S,2539,38,96576
576,S,2711,36,96025
640,S,2909,34,95500
704,S,3257,31,95023
768,S,3338,28,94618
832,S,3994,22,94329
896,S,4549,21,94093
960,S,4943,20,93848
1024,S,5227,20,93592
1088,S,5297,20,93336
1152,S,5623,20,93080
1216,S,6113,18,92836
1280,S,7186,17,92614
1344,S,8059,16,92421
1408,S,7846,15,92228
1472,S,8537,15,92017
1536,S,8434,14,91800
1600,S,8674,14,91620
1664,S,9502,13,91449
1728,S,9787,13,91264
1792,S,10111,13,91072
1856,S,11117,13,90880
1920,S,10799,13,90688
1984,S,10487,13,90496
2048,S,11933,13,90304
2112,S,11621,13,90112
2176,S,11299,13,89920
2240,S,12479,12,89752
2304,S,12163,12,89592
2368,S,13523,12,89432
2432,S,12917,12,89272
2496,S,15118,10,89145
2560,S,13844,10,89049
2624,S,15887,10,88926
2688,S,11401,9,88795
2752,S,16901,9,88671
2816,S,16561,9,88543
2880,S,18541,9,88415
2944,S,18253,9,88287
3008,S,17971,9,88159
3072,S,17657,9,88031
3136,S,17359,9,87903
3200,S,17029,9,87775
3264,S,15256,8,87677
3328,S,21001,8,87558
3392,S,20681,8,87430
3456,S,20341,8,87302
3520,S,20023,8,87174
3584,S,19727,8,87046
3648,S,19427,8,86918
3712,S,23131,8,86790
3776,S,22817,8,86662
3840,S,22531,8,86534
3904,S,22159,8,86406
3968,S,21871,8,86278
4032,S,21577,8,86150
4096,S,21277,8,86022
4160,S,24061,8,85894
4224,S,23767,8,85766
4288,S,23473,8,85638
4352,S,25747,8,85510
4416,S,25111,8,85382
4480,S,9379,7,85257
4544,S,32059,7,85148
4608,S,31667,7,85020
4672,S,31319,7,84892
4736,S,29948,6,84817
4800,S,28508,6,84753
4864,S,27364,6,84689
4928,S,26276,6,84625
4992,S,19097,6,84562
5056,S,34253,6,84466
5120,S,33857,6,84370
5184,S,33577,6,84274
5248,S,33247,6,84178
5312,S,32939,6,84082
5376,S,32587,6,83986
5440,S,32321,6,83890
5504,S,36767,6,83794
5568,S,36277,6,83698
5632,S,35797,6,83602
5696,S,35227,6,83506
5760,S,34693,6,83410
5824,S,28801,5,83348
5888,S,43319,5,83273
5952,S,42937,5,83177
6016,S,42641,5,83081
6080,S,42323,5,82985
6144,S,41999,5,82889
6208,S,41669,5,82793
6272,S,41357,5,82697
6336,S,41047,5,82601
6400,S,40709,5,82505
6464,S,40343,5,82409
6528,S,39971,5,82313
6592,S,39631,5,82217
6656,S,39293,5,82121
6720,S,38959,5,82025
6784,S,38653,5,81929
6848,S,52433,5,81833
6912,S,52057,5,81737
6976,S,51713,5,81641
7040,S,51421,5,81545
7104,S,51061,5,81449
7168,S,50683,5,81353
7232,S,50321,5,81257
7296,S,49993,5,81161
7360,S,49663,5,81065
7424,S,49331,5,80969
7488,S,49003,5,80873
7552,S,48649,5,80777
7616,S,48313,5,80681
7680,S,47939,5,80585
7744,S,47609,5,80489
7808,S,47293,5,80393
7872,S,46877,5,80297
7936,S,46567,5,80201
8000,S,46199,5,80105
8064,S,45833,5,80009
8128,S,45491,5,79913
8192,S,45127,5,79817
8256,S,44771,5,79721
8320,S,44449,5,79625
8384,S,44087,5,79529
8448,S,43753,5,79433
8512,S,58727,5,79337
8576,S,58369,5,79241
8640,S,58043,5,79145
8704,S,57709,5,79049
8768,S,57329,5,78953
8832,S,56993,5,78857
8896,S,56701,5,78761
8960,S,56393,5,78665
9024,S,56009,5,78569
9088,S,55697,5,78473
9152,S,55339,5,78377
9216,S,54979,5,78281
9280,S,54601,5,78185
9344,S,54319,5,78089
9408,S,53917,5,77993
9472,S,53597,5,77897
9536,S,53201,5,77801
9600,S,52889,5,77705
9664,S,59359,5,77609
9728,S,59029,5,77513
9792,S,49186,4,77433
9856,S,50606,4,77369
9920,S,51878,4,77305
9984,S,52594,4,77241
10048,S,53294,4,77177
10112,S,53854,4,77113
10176,S,54554,4,77049
10240,S,55346,4,76985
10304,S,55894,4,76921
10368,S,56594,4,76857
10432,S,57214,4,76793
10496,S,57802,4,76729
10560,S,58462,4,76665
10624,S,59146,4,76601
10688,S,59894,4,76537
10752,S,60542,4,76473
10816,S,61298,4,76409
10880,S,61942,4,76345
10944,S,38204,4,76283
11008,S,33452,4,76251
11072,S,37172,4,76219
