N,T,edge_count,h,max_closed_edges,max_normalized_captured_boundary,max_normalized_captured_boundary_over_edges_per_h,max_useful_top_facets,max_useful_top_facets_over_edges,max_useful_top_facets_over_edges_per_h,max_useful_top_facets_turn,policy
7,6,21,5,6,11.6,2.761904761904762,24,1.1428571428571428,5.714285714285714,11,shadow_pressure
8,13,56,5,13,18.400000000000002,1.6428571428571432,44,0.7857142857142857,3.928571428571429,25,simplex_star_cascade
8,13,56,5,13,18.700000000000003,1.6696428571428574,45,0.8035714285714286,4.017857142857143,25,smallest_neighborhood
8,13,56,5,16,18.200000000000003,1.6250000000000004,44,0.7857142857142857,3.928571428571429,25,highest_degree_vertex
8,13,56,5,13,18.400000000000002,1.6428571428571432,44,0.7857142857142857,3.928571428571429,25,max_claimed_overlap
8,13,56,5,14,19.200000000000003,1.7142857142857146,47,0.8392857142857143,4.196428571428572,27,lookahead1
8,13,56,5,14,20.400000000000002,1.8214285714285718,52,0.9285714285714286,4.642857142857143,27,shadow_pressure
9,25,126,5,25,28.200000000000003,1.1190476190476193,75,0.5952380952380952,2.9761904761904763,49,simplex_star_cascade
9,25,126,5,25,28.700000000000003,1.138888888888889,77,0.6111111111111112,3.055555555555556,49,smallest_neighborhood
9,27,126,5,33,29.500000000000004,1.170634920634921,81,0.6428571428571429,3.2142857142857144,53,highest_degree_vertex
9,25,126,5,25,28.200000000000003,1.1190476190476193,75,0.5952380952380952,2.9761904761904763,49,max_claimed_overlap
9,26,126,5,27,29.8,1.1825396825396826,82,0.6507936507936508,3.253968253968254,53,lookahead1
9,26,126,5,27,33.4,1.3253968253968254,98,0.7777777777777778,3.888888888888889,53,shadow_pressure
10,45,252,5,48,42.3,0.8392857142857143,123,0.4880952380952381,2.4404761904761907,91,simplex_star_cascade
10,45,252,5,46,45.2,0.8968253968253969,135,0.5357142857142857,2.678571428571429,91,smallest_neighborhood
10,45,252,5,67,46.8,0.9285714285714285,143,0.5674603174603174,2.8373015873015874,91,highest_degree_vertex
10,45,252,5,45,41.4,0.8214285714285714,120,0.47619047619047616,2.380952380952381,89,max_claimed_overlap
10,47,252,5,48,45.2,0.8968253968253969,135,0.5357142857142857,2.678571428571429,95,lookahead1
10,46,252,5,51,50.5,1.001984126984127,160,0.6349206349206349,3.174603174603175,91,shadow_pressure
7,2,7,6,3,8.833333333333332,7.57142857142857,15,2.142857142857143,12.857142857142856,5,simplex_star_cascade
7,2,7,6,3,8.833333333333332,7.57142857142857,15,2.142857142857143,12.857142857142856,5,smallest_neighborhood
7,2,7,6,3,8.833333333333332,7.57142857142857,15,2.142857142857143,12.857142857142856,5,highest_degree_vertex
7,2,7,6,3,8.833333333333332,7.57142857142857,15,2.142857142857143,12.857142857142856,5,max_claimed_overlap
7,2,7,6,3,8.833333333333332,7.57142857142857,15,2.142857142857143,12.857142857142856,5,lookahead1
7,2,7,6,3,8.833333333333332,7.57142857142857,15,2.142857142857143,12.857142857142856,5,shadow_pressure
8,8,28,6,8,16.733333333333334,3.585714285714286,38,1.3571428571428572,8.142857142857142,15,simplex_star_cascade
8,8,28,6,8,16.733333333333334,3.585714285714286,38,1.3571428571428572,8.142857142857142,15,smallest_neighborhood
8,8,28,6,8,15.150000000000002,3.246428571428572,33,1.1785714285714286,7.071428571428571,15,highest_degree_vertex
8,8,28,6,8,16.2,3.471428571428571,36,1.2857142857142858,7.7142857142857135,15,max_claimed_overlap
8,8,28,6,8,16.733333333333334,3.585714285714286,38,1.3571428571428572,8.142857142857142,15,lookahead1
8,8,28,6,9,16.599999999999998,3.5571428571428565,38,1.3571428571428572,8.142857142857142,17,shadow_pressure
9,19,84,6,20,29.23333333333333,2.088095238095238,80,0.9523809523809523,5.714285714285714,39,simplex_star_cascade
9,19,84,6,19,29.366666666666664,2.0976190476190473,80,0.9523809523809523,5.714285714285714,37,smallest_neighborhood
9,20,84,6,21,28.866666666666664,2.0619047619047617,79,0.9404761904761905,5.642857142857143,39,highest_degree_vertex
9,19,84,6,19,28.833333333333332,2.0595238095238093,78,0.9285714285714286,5.571428571428571,37,max_claimed_overlap
9,19,84,6,20,29.4,2.1,81,0.9642857142857143,5.785714285714286,39,lookahead1
9,20,84,6,21,32.099999999999994,2.2928571428571423,94,1.119047619047619,6.714285714285714,41,shadow_pressure
